Date,FCost,GCost
2021-12-02,52.37,9.43
2021-12-03,51.45,0
2021-12-04,52.32,0
2021-12-05,164.08,0
2021-12-06,311.48,0
2021-12-07,446.64,0
2021-12-08,397.69,0
2021-12-09,363.46,0
2021-12-10,362.71,0
2021-12-11,353.09,0
2021-12-12,457.88,0
2021-12-13,465.42,0
2021-12-14,464.26,15.25
2021-12-15,353.95,42.95
2021-12-16,380.19,40.39
2021-12-17,412.88,55.41
2021-12-18,402.33,89.6
2021-12-19,509.19,90.8
2021-12-20,514.15,75.5
2021-12-21,472.97,87.91
2021-12-22,238.03,75.07
2021-12-23,181.4,83.89
2021-12-24,177.05,60.98
2021-12-25,161.98,47.02
2021-12-26,246.97,56.34
2021-12-27,232.47,77.63
2021-12-28,238.26,87.03
2021-12-29,173.94,90.28
2021-12-30,161.68,75.45
2021-12-31,43.75,47.13
2022-01-01,87.73,42.69
2022-01-02,126.62,65.02
2022-01-03,136.44,36.55
2022-01-04,156.22,53.75
2022-01-05,175.49,48.32
2022-01-06,166.83,58.74
2022-01-07,165.56,39.23
2022-01-08,168.91,56.09
2022-01-09,170.78,45.74
2022-01-10,184.94,53.68
2022-01-11,206.92,41.41
2022-01-12,201.85,50.93
2022-01-13,210.95,68.67
2022-01-14,216.88,59.39
2022-01-15,216.97,60.87
2022-01-16,217.81,76.72
2022-01-17,220.11,50.6
2022-01-18,224.68,53.45
2022-01-19,243.44,51.71
2022-01-20,260.73,57.8
2022-01-21,274.71,85.6
2022-01-22,283.92,67.55
2022-01-23,280.9,44.49
2022-01-24,275.68,71.33
2022-01-25,298.77,73.63
2022-01-26,352.31,52.6
2022-01-27,656.17,74.06
2022-01-28,927.03,94.45
2022-01-29,1013.75,45.43
2022-01-30,910.04,55.05
2022-01-31,695.02,58.58
2022-02-01,53.42,66.15
2022-02-02,114.36,55.31
2022-02-03,183.71,51.38
2022-02-04,228.06,97.87
2022-02-05,235.81,78.2
2022-02-06,231.01,53.23
2022-02-07,230.85,58.05
2022-02-08,229.43,83.02
2022-02-09,272.73,82.7
2022-02-10,279.85,84.63
2022-02-11,290.04,191.87
2022-02-12,308.71,118.53
2022-02-13,313.2,97.78
2022-02-14,273.02,136.54
2022-02-15,207.08,113.89
2022-02-16,239.05,93.79
2022-02-17,275.83,89.27
2022-02-18,319.94,91.75
2022-02-19,301.65,112.21
2022-02-20,316.66,105.87
2022-02-21,400.86,65.55
2022-02-22,503.68,102.15
2022-02-23,599.92,88.55
2022-02-24,594.96,111.68
2022-02-25,624.8,92.37
2022-02-26,550.24,126.89
2022-02-27,780.66,93.13
2022-02-28,845.12,127.21
2022-03-01,40.77,127.2
2022-03-02,158.4,160.28
2022-03-03,210.6,129.73
2022-03-04,231.66,150.6
2022-03-05,224.08,247.02
2022-03-06,206.7,185.2
2022-03-07,197.12,145.16
2022-03-08,209.27,223.53
2022-03-09,270.06,216.32
2022-03-10,299.13,201.86
2022-03-11,308.57,179.58
2022-03-12,258.49,195.03
2022-03-13,242.73,192.72
2022-03-14,245.55,158.46
2022-03-15,251.94,152.2
2022-03-16,270.98,266.24
2022-03-17,283.82,270.17
2022-03-18,313.53,260.76
2022-03-19,313.53,233.21
2022-03-20,296.65,185.28
2022-03-21,272.11,147.98
2022-03-22,343.31,160.31
2022-03-23,386.87,185.56
2022-03-24,396.42,110.31
2022-03-25,425.79,129.58
2022-03-26,415.32,141.64
2022-03-27,397.04,258.8
2022-03-28,485.57,289.53
2022-03-29,534.67,306.73
2022-03-30,550.76,272.49
2022-03-31,633.88,209.82
2022-04-01,99.75,229.12
2022-04-02,121.48,255.7
2022-04-03,56.19,193.37
2022-04-04,59.7,129.81
2022-04-05,189.5,164.19
2022-04-06,245.04,172.22
2022-04-07,272.84,351.57
2022-04-08,275.72,447.86
2022-04-09,296.29,355.22
